user_id,segment,favorite_artist,total_listens,unique_artists,unique_tracks,active_days,avg_listens_per_day,artist_diversity,repeat_rate,night_share,weekend_share
user_000011,1,Camel,17171,608,7862,578,29.707612456747405,0.03540853765069012,0.5421349950497932,0.20569564964183798,0.2614873915322346
user_000012,0,Sloan,75876,2853,13058,1160,65.4103448275862,0.03760082239443302,0.8279034213717118,0.26995360851916284,0.306526437872318
user_000014,1,Tegan And Sara,354,111,282,29,12.206896551724139,0.3135593220338983,0.2033898305084746,0.0847457627118644,0.07909604519774012
user_000019,1,Incubus,27526,885,3357,536,51.3544776119403,0.0321514204751871,0.8780425779263242,0.24260698975514058,0.1739809634527356
user_000029,0,Sasha,41830,1782,9172,863,48.47045191193511,0.04260100406406885,0.7807315323930194,0.24405928759263687,0.13019364092756394
user_000030,1,The Fall,17150,396,3813,325,52.76923076923077,0.023090379008746355,0.777667638483965,0.3270553935860058,0.2916618075801749
user_000035,1,Jaleco Sound Team,9458,1261,4393,377,25.087533156498672,0.13332628462677099,0.5355254810742229,0.4303235356312117,0.34182702474096005
user_000037,1,Monsieur Minimal,6230,1034,2692,124,50.24193548387097,0.16597110754414124,0.5678972712680578,0.018138041733547352,0.13836276083467094
user_000041,1,Vnv Nation,8281,1751,5221,479,17.288100208768267,0.21144789276657408,0.3695205893008091,0.2843859437266031,0.32713440405748095
user_000003,1,Daft Punk,19494,935,4683,605,32.22148760330578,0.047963475941315274,0.7597722376115728,0.3497486406073664,0.2729044834307992
user_000004,1,Radiohead,18411,1770,6212,389,47.329048843187664,0.09613817826299495,0.6625930150453534,0.3697246211503992,0.33615773179077724
user_000005,1,Air,20341,1081,2016,636,31.982704402515722,0.053143896563590774,0.9008898284253478,0.20505383216164397,0.2909886436261737
user_000007,1,Kaysha,2454,508,1122,242,10.140495867768594,0.20700896495517523,0.5427872860635696,0.2828035859820701,0.38793806030969846
user_000013,1,Neurosis,8896,597,3141,273,32.586080586080584,0.06710881294964029,0.646919964028777,0.01618705035971223,0.29552607913669066
user_000015,1,Ac/Dc,13743,556,2166,317,43.353312302839115,0.04045695990686168,0.8423924907225496,0.04707851269737321,0.2751946445463145
user_000021,0,The Clash,70446,762,10106,1283,54.907248636009356,0.010816795843624905,0.8565426000056782,0.2876671493058513,0.2765096669789626
